stationid,component,time,unit,meantype,value,meta_name,meta_owner,meta_location,x_coord,y_coord,z_coord
01:0012,Schwefeldioxid,1660651200,µg/m³,HMW,0.0,Illmitz im Burgenländischen Messnetz (könnten UBA-Daten drauf sein),Amt der Burgenländischen Landesregierung,,,,
06:170,Schwefeldioxid,1660667400,µg/m³,HMW,0.0,Graz Süd Tiergartenweg,Amt der Steiermärkischen Landesregierung,"Tiergartenweg 10, Ecke Herrgotwiesgasse 190 (B67: 250m)",15.43308,47.04172,345.0
06:177,Schwefeldioxid,1660667400,µg/m³,HMW,0.0,Liezen Pyhrnbach,Amt der Steiermärkischen Landesregierung,Alte Gasse 12,14.244676,47.565439,649.0
10:ILL1,Schwefeldioxid,1660667400,µg/m³,HMW,0.0,Illmitz am Neusiedler See,Umweltbundesamt,Biologische Station Illmitz,16.76639,47.77028,117.0
10:PIL1,Schwefeldioxid,1660667400,µg/m³,HMW,0.0,Pillersdorf bei Retz,Umweltbundesamt,Am Öhlberg,15.93595,48.7212,315.0
10:VOR1,Schwefeldioxid,1660665600,µg/m³,HMW,0.0,Vorhegg bei Kötschach-Mauthen,Umweltbundesamt,"Kreuth 8b, Josef Zobernig",12.972,46.6775,1010.0
10:ZOE2,Schwefeldioxid,1660667400,µg/m³,HMW,0.0,Zöbelboden im Reichraminger Hintergebirge - Wildwiese,Umweltbundesamt,"Zöbelboden, Wildwiese",14.44095,47.83828,899.0
01:0003,Schwefeldioxid,1660667400,µg/m³,HMW,1.0,Kittsee,Amt der Burgenländischen Landesregierung,Neurisse - Brunnenfeld ,17.0703159,48.1091532,136.0
02:M226,Schwefeldioxid,1660667400,µg/m³,HMW,1.0,Ebenthal Zell,Amt der Kärntner Landesregierung,Niederdorferstraße 5,14.39826,46.61011,420.0
02:WO15,Schwefeldioxid,1660665600,µg/m³,HMW,1.0,Wolfsberg Hauptschule,Amt der Kärntner Landesregierung,"Hauptschule, Klagenfurter Str. (B70), Hans Schreiber-Str. 1",14.84346,46.834975,460.0
03:0103,Schwefeldioxid,1660667400,µg/m³,HMW,1.0,Kollmitzberg,Amt der Niederösterreichischen Landesregierung,"Kollmitzberg, neben GH. Alpenblick",14.86505,48.179279,465.0
03:0202,Schwefeldioxid,1660667400,µg/m³,HMW,1.0,Forsthof am Schöpfl,Amt der Niederösterreichischen Landesregierung,Forsthof am Schöpfl,15.9189,48.1051,581.0
03:0401,Schwefeldioxid,1660667400,µg/m³,HMW,1.0,Gänserndorf Baumschulweg,Amt der Niederösterreichischen Landesregierung,Baumschulweg,16.729445,48.33472,161.0
03:0407,Schwefeldioxid,1660667400,µg/m³,HMW,1.0,Groß-Enzersdorf - Glinzendorf,Amt der Niederösterreichischen Landesregierung,L3010 zwischen Glinzendorf und Rutzendorf,16.63638889,48.230833333,150.0
04:S156,Schwefeldioxid,1660667400,µg/m³,HMW,1.0,"Braunau Zentrum, Kolpingplatz",Amt der Oberösterreichischen Landesregierung,"Kolpingplatz, Ecke Ringstraße 23 (Parkplatz Sonderschule)",13.03923,48.257474,350.0
04:S407,Schwefeldioxid,1660667400,µg/m³,HMW,1.0,"Vöcklabruck, Untere Agergasse",Amt der Oberösterreichischen Landesregierung,Untere Agergasse 14,13.6676111,48.0008965,420.0
04:S409,Schwefeldioxid,1660667400,µg/m³,HMW,1.0,Steyr Münichholz,Amt der Oberösterreichischen Landesregierung,"Siedlung Münichholz, Holzstrasse, Karl Punzer-Straße 1",14.442777777777776,48.04944444444444,305.0
04:S432,Schwefeldioxid,1660667400,µg/m³,HMW,1.0,Lenzing Hauptstraße,Amt der Oberösterreichischen Landesregierung,Park Hauptstraße/Stefan Fadinger-Straße,13.60892,47.97386,485.0
06:106,Schwefeldioxid,1660667400,µg/m³,HMW,1.0,Köflach,Amt der Steiermärkischen Landesregierung,"Alter Rathausplatz, Volksschule Schulweg (B70: 90m)",15.086667,47.06333,445.0
06:142,Schwefeldioxid,1660667400,µg/m³,HMW,1.0,Leoben Donawitz Kindergarten,Amt der Steiermärkischen Landesregierung,Kindergarten Pestalozzigasse (Pz.Nr. 71/8),15.0745,47.37555555555556,555.0
06:151,Schwefeldioxid,1660667400,µg/m³,HMW,1.0,Bockberg,Amt der Steiermärkischen Landesregierung,"Bockbergweg, Jöbstl-Arbeiter",15.495833333333332,46.87138888888889,449.0
06:156,Schwefeldioxid,1660667400,µg/m³,HMW,1.0,Masenberg,Amt der Steiermärkischen Landesregierung,"Masenberg, Sender oberhalb von Waldhansl",15.882222,47.34806,1180.0
06:164,Schwefeldioxid,1660667400,µg/m³,HMW,1.0,Graz Don Bosco,Amt der Steiermärkischen Landesregierung,"Don-Bosco-Kirche, Kreuzung Kärntnerstraße - Alte Poststraße",15.416603,47.055611,358.0
06:179,Schwefeldioxid,1660667400,µg/m³,HMW,1.0,Hartberg Zentrum,Amt der Steiermärkischen Landesregierung,"F. Schmidt G., Sparkassenplatz, Parkplatz hinter Bahnhofstr.",15.971852,47.28286,349.0
06:180,Schwefeldioxid,1660667400,µg/m³,HMW,1.0,Bruck an der Mur Flurgasse,Amt der Steiermärkischen Landesregierung,"Flurgasse 2, Ecke Oberdorfer Straße",15.253333,47.409443,485.0
06:185,Schwefeldioxid,1660667400,µg/m³,HMW,1.0,Klöch bei Bad Radkersburg,Amt der Steiermärkischen Landesregierung,"Seindl, Dissay-Weg",15.956111,46.7675,415.0
06:190,Schwefeldioxid,1660667400,µg/m³,HMW,1.0,Arnfels - Remschnigg,Amt der Steiermärkischen Landesregierung,"Steirischer Possruck, Remschnigg, Isaak",15.36778,46.65195,785.0
07:2110,Schwefeldioxid,1660667400,µg/m³,HMW,1.0,Innsbruck Zentrum - Fallmerayerstraße,Amt der Tiroler Landesregierung,Fallmerayerstraße Ecke Maximilianstrasse,11.3923611,47.2626194,577.0
10:ENK1,Schwefeldioxid,1660667400,µg/m³,HMW,1.0,Enzenkirchen im Sauwald,Umweltbundesamt,"Kriegen, Kapelle",13.67085,48.39167,525.0
01:0004,Schwefeldioxid,1660667400,µg/m³,HMW,2.0,Bad Sauerbrunn,Amt der Burgenländischen Landesregierung,Freiwillige Feuerwehr,16.32875,47.77907,254.0
02:F202,Schwefeldioxid,1660665600,µg/m³,HMW,2.0,Klein St. Paul - Pemberg,Amt der Kärntner Landesregierung,Pemberg,14.52998,46.84283,810.0
02:KA71,Schwefeldioxid,1660665600,µg/m³,HMW,2.0,Klagenfurt Sterneckstraße,Amt der Kärntner Landesregierung,Sterneckstraße (gegenüber Nr. 17),14.299144444444444,46.62661666666667,445.0
02:M121,Schwefeldioxid,1660665600,µg/m³,HMW,2.0,Arnoldstein Gailitz Waldsiedlungsstraße,Amt der Kärntner Landesregierung,"Waldsiedlungsstraße 5, gegenüber Föhrenweg 10",13.70345,46.5584,574.0
02:WO35,Schwefeldioxid,1660667400,µg/m³,HMW,2.0,St. Georgen im Lavanttal - Herzogberg,Amt der Kärntner Landesregierung,Herzogberg,14.891667,46.708333,540.0
03:0301,Schwefeldioxid,1660667400,µg/m³,HMW,2.0,Hainburg Krankenhaus,Amt der Niederösterreichischen Landesregierung,"Parkplatz Bezirkskrankenhaus, Florianistraße",16.95787,48.1442,180.0
03:0302,Schwefeldioxid,1660667400,µg/m³,HMW,2.0,Stixneusiedl,Amt der Niederösterreichischen Landesregierung,"Stixneusiedl, Hochbehälter Viehtrift",16.675289,48.05004,235.0
03:0502,Schwefeldioxid,1660667400,µg/m³,HMW,2.0,Heidenreichstein Thaures,Amt der Niederösterreichischen Landesregierung,Thaures,15.04666667,48.8786111,570.0
03:0801,Schwefeldioxid,1660667400,µg/m³,HMW,2.0,Irnfritz - Rothweinsdorf,Amt der Niederösterreichischen Landesregierung,Rothweinsdorf,15.49842,48.72421,556.0
03:1301,Schwefeldioxid,1660667400,µg/m³,HMW,2.0,Mistelbach Steinhübel,Amt der Niederösterreichischen Landesregierung,Hochbehälter Steinhübel,16.5788,48.57832,250.0
03:1502,Schwefeldioxid,1660667400,µg/m³,HMW,2.0,Payerbach - Kreuzberg,Amt der Niederösterreichischen Landesregierung,"Kreuzberg, Althammerhofstraße, Coronakreuz",15.860277778,47.67027778,890.0
03:1701,Schwefeldioxid,1660667400,µg/m³,HMW,2.0,Dunkelsteinerwald - Unterbergern,Amt der Niederösterreichischen Landesregierung,Unterbergern Bäckerberg,15.54583333,48.370278,320.0
03:2401,Schwefeldioxid,1660667400,µg/m³,HMW,2.0,Wiener Neustadt,Amt der Niederösterreichischen Landesregierung,Neuklosterwiese Sportplatz,16.255,47.81416667,265.0
